Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,1,8,Acropora verweyi,30-Oct-19,5.3,3.6,3.4,51,100,,25-Feb-20,5.3,3.7,4.1,63,100,,20-May-20,5.3,4.3,4.1,73,90,,7-Oct-20,6.4,4.7,6,144,95,
Depth gradient 2019 - 2020,Pilli Pipa,2,1,Acropora verweyi,30-Oct-19,6.5,6.4,3.5,125,100,,25-Feb-20,8.8,7.5,3.7,217,100,,20-May-20,9.1,7,5,257,90,,7-Oct-20,10.7,6.4,3.4,203,40,
Depth gradient 2019 - 2020,Pilli Pipa,2,2,Acropora verweyi,30-Oct-19,5.7,2.5,2.6,29,100,,25-Feb-20,7.4,3.4,3.1,61,100,,20-May-20,7.1,2.9,3.4,55,90,,7-Oct-20,3.4,2.7,1.7,13,10,Bleaching
Depth gradient 2019 - 2020,Pilli Pipa,2,3,Acropora verweyi,30-Oct-19,4.9,2.4,1.7,16,100,,25-Feb-20,6.3,3.1,2.2,35,100,,20-May-20,9.7,5.1,4.4,172,100,,7-Oct-20,10.8,6.3,6.6,353,95,
Depth gradient 2019 - 2020,Pilli Pipa,2,4,Acropora verweyi,30-Oct-19,4.9,5.2,5,100,100,,25-Feb-20,5.2,6.3,5.5,142,100,,20-May-20,7,3.7,5,104,100,,7-Oct-20,11.5,6.2,4,235,50,
Depth gradient 2019 - 2020,Pilli Pipa,2,5,Acropora verweyi,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,2,6,Acropora verweyi,30-Oct-19,5.5,2.9,2.4,30,100,,25-Feb-20,6.1,4,3.1,60,100,,20-May-20,6.7,4.5,3.7,88,100,,7-Oct-20,7,4.1,3.2,73,80,
Depth gradient 2019 - 2020,Pilli Pipa,2,7,Acropora verweyi,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,2,8,Acropora verweyi,30-Oct-19,4.2,2.6,2.6,22,100,,25-Feb-20,6,4.3,3.5,72,100,,20-May-20,6.7,6.2,5.1,168,100,,7-Oct-20,7.4,6.4,5.8,216,90,
Depth gradient 2019 - 2020,Pilli Pipa,3,1,Acropora verweyi,30-Oct-19,6.4,5.8,4,121,100,,25-Feb-20,7.9,6.7,6.2,258,90,,20-May-20,8.7,7.2,5.4,271,90,,7-Oct-20,10.4,9.3,6.4,503,70,
Depth gradient 2019 - 2020,Pilli Pipa,3,2,Acropora verweyi,30-Oct-19,7.2,6.3,3.6,139,100,,25-Feb-20,8.5,8.2,5.1,295,100,,20-May-20,8.8,3.2,4.7,108,60,,7-Oct-20,10.9,5.8,7.5,379,80,
Depth gradient 2019 - 2020,Pilli Pipa,3,3,Acropora verweyi,30-Oct-19,5.8,4.4,3.9,78,100,,25-Feb-20,7.4,5,4.5,131,95,,20-May-20,8.4,5.9,4.7,185,90,,7-Oct-20,12.3,9.8,7.7,740,90,
